"Key","LastModified","ETag","Size","StorageClass","Bucket"
"parsed/F9-P01-T00-SUMMARY-EZ-2019.csv","2023-03-21T19:15:12.000Z","""837baf147af65c574db5ac8bea72c5c4-8""",66478232,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2019.rds","2023-03-21T19:15:45.000Z","""ae5c014e2138de7cbc6b85e17848602a-2""",11512248,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2009.csv","2023-03-21T19:15:48.000Z","""fe85198644bb3bf02f530b38ab721353-3""",17263314,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2009.rds","2023-03-21T19:16:08.000Z","""ecb6f314a797a016e3d5aae30ec0355d""",4137079,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2010.csv","2023-03-21T19:16:00.000Z","""6b59e2fbc79b020e48a8f8a2bf41b8cd-8""",65442180,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2010.rds","2023-03-21T19:16:36.000Z","""b859c5479275ce29ac47a30b4f89126a-2""",16522383,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2011.csv","2023-03-21T19:16:39.000Z","""45cb7176dc0c1aff545da35c260e0c53-11""",87738826,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2011.rds","2023-03-21T19:17:18.000Z","""073cc7bbec48fb93d345e2965db7c7a9-3""",22105093,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2012.csv","2023-03-21T19:17:26.000Z","""418e4674308f94eaa92657a45b392ebf-12""",100296574,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2012.rds","2023-03-21T19:18:24.000Z","""58d168303e25a7c21fd959a5236ed0e5-4""",26123002,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2013.csv","2023-03-21T19:18:43.000Z","""596595918b54fb0216430839e79861cd-14""",112276862,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2013.rds","2023-03-21T19:19:46.000Z","""9c9b1986e93a67bb68fdb99360448eea-4""",29529583,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2014.csv","2023-03-21T19:20:05.000Z","""48db6e9640094fdcc6af2d25110c7718-15""",124375939,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2014.rds","2023-03-21T19:21:07.000Z","""b4555f3c9561d8764b905544b71b07f1-4""",32911204,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2015.csv","2023-03-21T19:21:18.000Z","""433119e84717d432cda0d936cbbfc959-16""",133127964,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2015.rds","2023-03-21T19:22:33.000Z","""ffe534bdcfee1ba9e0f2375480f5320f-5""",35109394,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2016.csv","2023-03-21T19:22:47.000Z","""c2a848a8b12c0623d03a0e2102ef322b-17""",139093187,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2016.rds","2023-03-21T19:23:49.000Z","""bc59cdc871e8c4a72f7481ae56835dc3-5""",36386036,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2017.csv","2023-03-21T19:24:19.000Z","""2e6492a5cf0a1bee06b529c53cd68688-18""",146322872,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2017.rds","2023-03-21T19:25:21.000Z","""d46b88aa2eb808798cbadd7ba79149e9-5""",39118000,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2018.csv","2023-03-21T19:25:38.000Z","""6d48d63a6773f5884cf311d6c85eaaed-19""",151956469,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2018.rds","2023-03-21T19:27:21.000Z","""39e76de7a61c9bf88fb1714de8e930b8-5""",39872060,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2019.csv","2023-03-21T19:27:31.000Z","""3e624c8a9eeba323d5df3b01f364c6e7-17""",142071066,"STANDARD","nccs-efile"
"parsed/F9-P02-T00-SIGNATURE-2019.rds","2023-03-21T19:28:56.000Z","""303e0bdd0460d49131fe9c51e52b6df3-5""",37270806,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2009.csv","2023-03-21T19:29:26.000Z","""68416f3f46b7191aaa1ca74d7a84f91d-3""",17739499,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2009.rds","2023-03-21T19:29:55.000Z","""6ca44526cd929b7dd5c32da224004827""",4743812,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2010.csv","2023-03-21T19:29:35.000Z","""69eaa32fdc94098d67f90556b3eb235a-8""",62884165,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2010.rds","2023-03-21T19:30:08.000Z","""6f39607ba0891933fc2a5e099b0938af-2""",16737043,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2011.csv","2023-03-21T19:30:11.000Z","""5b06fa6b0f6389c70c01bf8b9338586e-10""",82438368,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2011.rds","2023-03-21T19:30:54.000Z","""0eb1cc376dbe4b5252e1aa46393aec0b-3""",21395225,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2012.csv","2023-03-21T19:31:03.000Z","""d8da5d827805fdfaefe38b5caf534731-12""",93539681,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2012.rds","2023-03-21T19:32:10.000Z","""d4234946406b3ab931735b80cddbf980-3""",24911446,"STANDARD","nccs-efile"
